Link 13 Volume (ft3)	
Elapsed Time (days)	Volume (ft3)    
0.010417	0
0.020833	0
0.03125	0
0.041667	0
0.052083	0
0.0625	0
0.072917	0
0.083333	0
0.09375	0
0.104167	0
0.114583	0
0.125	0
0.135417	0
0.145833	0
0.15625	0
0.166667	0
0.177083	0
0.1875	0
0.197917	0
0.208333	0
0.21875	0
0.229167	0
0.239583	0
0.25	0
0.260417	0
0.270833	0
0.28125	0
0.291667	0
0.302083	0
0.3125	0
0.322917	0
0.333333	0
0.34375	0
0.354167	0
0.364583	0
0.375	0
0.385417	0
0.395833	0
0.40625	0
0.416667	0
0.427083	0
0.4375	0
0.447917	0
0.458333	0
0.46875	0
0.479167	0
0.489583	0
0.5	0
0.510417	0
0.520833	0
0.53125	0
0.541667	0
0.552083	0
0.5625	0
0.572917	0
0.583333	0
0.59375	0
0.604167	0
0.614583	0
0.625	0
0.635417	0
0.645833	0
0.65625	0
0.666667	0
0.677083	0
0.6875	0
0.697917	0
0.708333	0
0.71875	0
0.729167	0
0.739583	0
0.75	0
0.760417	0
0.770833	0
0.78125	0
0.791667	0
0.802083	0
0.8125	0
0.822917	0
0.833333	0
0.84375	0
0.854167	0
0.864583	0
0.875	0
0.885417	0
0.895833	0
0.90625	0
0.916667	0
0.927083	0
0.9375	0
0.947917	0
0.958333	0
0.96875	0
0.979167	0
0.989583	0
1	0
1.010417	0
1.020833	0
1.03125	0
1.041667	0
1.052083	0
1.0625	0
1.072917	0
1.083333	0
1.09375	0
1.104167	0
1.114583	0
1.125	0
1.135417	0
1.145833	0
1.15625	0
1.166667	0
1.177083	0
1.1875	0
1.197917	0
1.208333	0
1.21875	0
1.229167	0
1.239583	0
1.25	0
1.260417	0
1.270833	0
1.28125	0
1.291667	0
1.302083	0
1.3125	0
1.322917	0
1.333333	0
1.34375	0
1.354167	0
1.364583	0
1.375	0
1.385417	0
1.395833	0
1.40625	0
1.416667	0
1.427083	0
1.4375	0
1.447917	0
1.458333	0
1.46875	0
1.479167	0
1.489583	0
1.5	0
1.510417	0
1.520833	0
1.53125	0
1.541667	0
1.552083	0
1.5625	0
1.572917	0
1.583333	0
1.59375	0
1.604167	0
1.614583	0
1.625	0
1.635417	0
1.645833	0
1.65625	0
1.666667	0
